id,x,y,LAYER,type
493,91.83081719,22.32544592,Electric_Pole,PW
494,91.83472028,22.32958057,Electric_Pole,PW
495,91.83183819,22.33158868,Electric_Pole,PS
496,91.78673897,22.34779494,Electric_Pole,PW
497,91.78587749,22.34958383,Electric_Pole,PW
498,91.7867458,22.33265404,Electric_Pole,PS
499,91.78795439,22.34401226,Electric_Pole,PW
500,91.78732264,22.34611316,Electric_Pole,PW
501,91.78697977,22.34797833,Electric_Pole,PS
502,91.78632803,22.35069954,Electric_Pole,PW
503,91.78763206,22.34229975,Electric_Pole,PW
504,91.78818659,22.34031774,Electric_Pole,PS
505,91.7884888,22.3412341,Electric_Pole,PW
506,91.78775283,22.34106194,Electric_Pole,PW
507,91.78846209,22.338358,Electric_Pole,PS
508,91.78862651,22.33880472,Electric_Pole,PW
509,91.78866405,22.33588785,Electric_Pole,PW
510,91.78841822,22.33411327,Electric_Pole,PS
511,91.78257281,22.35689565,Electric_Pole,PW
512,91.78673821,22.3570183,Electric_Pole,PW
513,91.7809097,22.35640351,Electric_Pole,PS
514,91.77415427,22.35574808,Electric_Pole,PW
515,91.77336714,22.35567218,Electric_Pole,PW
516,91.77598645,22.35601903,Electric_Pole,PS
517,91.8413525,22.33186108,Electric_Pole,PW
518,91.83991257,22.33182132,Electric_Pole,PW
519,91.8398118,22.33062676,Electric_Pole,PS
520,91.83790305,22.3303858,Electric_Pole,PW
521,91.83742583,22.32700214,Electric_Pole,PW
522,91.842896,22.33047743,Electric_Pole,PS
523,91.84344052,22.32940779,Electric_Pole,PW
524,91.83675659,22.32942173,Electric_Pole,PW
525,91.81510908,22.34225318,Electric_Pole,PS
526,91.81168148,22.34290393,Electric_Pole,PW
527,91.81544489,22.34366328,Electric_Pole,PW
528,91.81364987,22.34101545,Electric_Pole,PS
529,91.80410495,22.34268563,Electric_Pole,PW
530,91.80132547,22.34293697,Electric_Pole,PW
531,91.8066421,22.34126553,Electric_Pole,PS
532,91.8162956,22.33724475,Electric_Pole,PW
533,91.82768591,22.32868738,Electric_Pole,PW
534,91.82660625,22.3296987,Electric_Pole,PS
535,91.8264151,22.33410619,Electric_Pole,PW
536,91.82596014,22.33219306,Electric_Pole,PW
537,91.82203055,22.32902785,Electric_Pole,PS
538,91.82383844,22.32989804,Electric_Pole,PW
539,91.82189072,22.33095557,Electric_Pole,PW
540,91.82241566,22.33225105,Electric_Pole,PS
541,91.82350802,22.33231505,Electric_Pole,PW
542,91.82099065,22.33254907,Electric_Pole,PW
543,91.81672395,22.33317652,Electric_Pole,PS
544,91.8182279,22.33359884,Electric_Pole,PW
545,91.81797074,22.33616917,Electric_Pole,PW
546,91.81203805,22.32122565,Electric_Pole,PS
547,91.8177987,22.32157649,Electric_Pole,PW
548,91.81453859,22.32091211,Electric_Pole,PW
549,91.8239105,22.32708727,Electric_Pole,PS
550,91.8268031,22.32531328,Electric_Pole,PW
551,91.82158562,22.32650485,Electric_Pole,PW
552,91.81953514,22.32438361,Electric_Pole,PS
553,91.82373673,22.32440081,Electric_Pole,PW
554,91.81820171,22.32342676,Electric_Pole,PW
555,91.82054528,22.32339675,Electric_Pole,PS
556,91.80715669,22.34895616,Electric_Pole,PW
557,91.81726004,22.34408958,Electric_Pole,PW
558,91.81723965,22.34452444,Electric_Pole,PS
559,91.81897221,22.34757361,Electric_Pole,PW
560,91.81755484,22.34747708,Electric_Pole,PW
561,91.79075682,22.34460504,Electric_Pole,PS
562,91.8010333,22.34499355,Electric_Pole,PW
563,91.79859489,22.34682403,Electric_Pole,PW
564,91.79286765,22.3447723,Electric_Pole,PS
565,91.79571835,22.34468675,Electric_Pole,PW
566,91.81196269,22.34499302,Electric_Pole,PW
567,91.79573676,22.34998281,Electric_Pole,PS
568,91.7963183,22.34770346,Electric_Pole,PW
569,91.79788704,22.34762635,Electric_Pole,PW
570,91.80823734,22.34816747,Electric_Pole,PS
571,91.81173815,22.34406435,Electric_Pole,PW
572,91.80184096,22.34416451,Electric_Pole,PW
573,91.80068501,22.35376208,Electric_Pole,PS
574,91.79371005,22.35157575,Electric_Pole,PW
575,91.80269821,22.35235409,Electric_Pole,PW
576,91.79389273,22.35161662,Electric_Pole,PS
577,91.79529453,22.35625975,Electric_Pole,PW
578,91.79580712,22.35608357,Electric_Pole,PW
579,91.79469805,22.3564363,Electric_Pole,PS
580,91.78897617,22.35517249,Electric_Pole,PW
581,91.79178093,22.35337399,Electric_Pole,PW
582,91.8287866,22.3317082,Electric_Pole,PS
583,91.8102717,22.32745586,Electric_Pole,PW
584,91.80948979,22.32758398,Electric_Pole,PW
585,91.80795561,22.32774532,Electric_Pole,PS
586,91.82157208,22.34955053,Electric_Pole,PW
587,91.81976182,22.34802595,Electric_Pole,PW
588,91.81873991,22.34884201,Electric_Pole,PS
589,91.81951571,22.34958802,Electric_Pole,PW
590,91.84702669,22.37523708,Electric_Pole,PW
591,91.84696061,22.37365134,Electric_Pole,PS
592,91.8451445,22.37220896,Electric_Pole,PW
593,91.8471069,22.37420352,Electric_Pole,PW
594,91.83978098,22.37196578,Electric_Pole,PS
595,91.83934035,22.37395892,Electric_Pole,PW
596,91.83938288,22.37508426,Electric_Pole,PW
597,91.83356218,22.38198328,Electric_Pole,PS
598,91.84501441,22.37091205,Electric_Pole,PW
599,91.84328704,22.36311736,Electric_Pole,PW
600,91.84532386,22.36392349,Electric_Pole,PS
601,91.83666023,22.35316615,Electric_Pole,PW
602,91.83731403,22.35513816,Electric_Pole,PW
603,91.83645254,22.35249848,Electric_Pole,PS
604,91.84086089,22.34335476,Electric_Pole,PW
