id,x,y,Floor,Occupancy,type,area,vid
158689,91.79703312,22.35822019,1,RES1,MSF1,21.8931,578
158690,91.79700775,22.35815046,1,RES1,MSF1,283.3134,578
158691,91.79713504,22.35804063,1,RES1,MSF1,283.3134,578
158692,91.79660714,22.3582167,1,RES1,MSF1,167.0141,578
158693,91.79660627,22.35814827,1,RES1,MSF1,430.0151,578
158694,91.79660954,22.35808478,1,RES1,MSF1,167.0141,578
158695,91.79684228,22.35819344,1,COM1,MLRM1,14.1396,578
158696,91.79682715,22.35810434,1,COM1,MLRM1,14.1396,578
158697,91.79699146,22.3580729,1,RES1,MSF1,14.1396,578
158698,91.79697307,22.35801331,1,RES1,MSF1,14.1396,578
158699,91.79702086,22.35796145,1,RES1,MSF1,14.1396,578
158700,91.7970459,22.35787306,1,RES1,MSF1,18.3843,578
158701,91.79769261,22.357983,1,RES1,MSF1,27.9002,578
158702,91.79770939,22.35808119,1,RES1,MSF1,34.3653,578
158703,91.79777771,22.358035,1,RES1,MSF1,16.9131,578
158704,91.79787288,22.35802002,1,RES1,MSF1,319.2607,578
158705,91.79792363,22.35805426,1,RES1,MSF1,47.2851,578
158706,91.79797101,22.35807772,1,COM1,MLRM1,14.1396,578
158707,91.79794696,22.35796672,1,COM1,MLRM1,14.1396,578
158708,91.79799447,22.35797592,1,COM1,MLRM1,14.1396,578
158709,91.79820081,22.35805094,1,COM1,MLRM1,14.1396,578
158710,91.79806711,22.35801137,1,RES1,MSF1,14.1396,578
158711,91.79811184,22.35796225,1,RES1,MSF1,14.1396,578
158712,91.79749416,22.35779086,1,RES6,MHPHUD,14.1396,578
158713,91.79781275,22.35735207,1,RES6,MHPHUD,315.0632,578
158714,91.79802781,22.35740123,1,RES1,MSF1,14.1396,578
158715,91.79826255,22.35735195,1,RES6,MHPHUD,14.8987,578
158716,91.79836171,22.35720435,1,RES1,MSF1,29.4695,578
158717,91.7975177,22.356482,1,RES1,MSF1,69.203,578
158718,91.79726485,22.35630096,1,RES1,MSF1,26.7749,578
158719,91.79564948,22.35646554,1,RES1,MSF1,29.1937,577
158720,91.79551945,22.35657017,1,RES1,MSF1,50.135,577
158721,91.79544314,22.35648986,1,RES2,MHPHUD,22.3362,577
158722,91.79516491,22.35623555,1,RES1,MSF1,29.2688,577
158723,91.79538589,22.35616741,1,RES1,MSF1,31.8876,577
158724,91.79540882,22.35624969,1,RES1,MSF1,29.7361,577
158725,91.79553538,22.35621836,1,RES1,MSF1,16.7738,577
158726,91.79549546,22.35611937,1,RES1,MSF1,17.2842,577
158727,91.79561858,22.35605255,1,RES1,MSF1,15.3024,578
158728,91.79580109,22.35639105,1,RES1,MSF1,21.8247,578
158729,91.79570893,22.35628818,1,RES1,MSF1,31.3365,578
